"id","period","coef","type"
1,0,-0.169794931364518,"data"
1,0,-0.555762978542103,"model"
10,0,-0.68101426260865,"data"
10,0,-0.584049982330711,"model"
11,0,-0.109648545570534,"data"
11,0,-0.0865378162615281,"model"
12,0,-0.358202082364486,"data"
12,0,-0.650411958525795,"model"
13,0,0.57910441321167,"data"
13,0,-0.0262798858838881,"model"
14,0,0.179623567093729,"data"
14,0,-0.137736919519229,"model"
15,0,0.425914923106984,"data"
15,0,-0.0550974547833879,"model"
16,0,-0.157633014748774,"data"
16,0,-0.643957937798765,"model"
17,0,-1.37729716875193,"data"
17,0,-0.906430933906547,"model"
18,0,0.0607247554684645,"data"
18,0,-0.0482572371349716,"model"
19,0,-0.648856478553651,"data"
19,0,-0.0375937192379536,"model"
2,0,0.297013796576347,"data"
2,0,-0.0535416773349377,"model"
20,0,-0.0947834741526594,"data"
20,0,-0.224601968994307,"model"
21,0,0.55174923406828,"data"
21,0,-0.0585277385480596,"model"
22,0,0.066650019873617,"data"
22,0,-0.0716064358665278,"model"
23,0,-0.229506844980885,"data"
23,0,-0.435835144212001,"model"
24,0,0.371016725998548,"data"
24,0,-0.0608678564268567,"model"
25,0,-0.943796158722318,"data"
25,0,-0.602511435481951,"model"
26,0,0.225280239020057,"data"
26,0,-0.0401950794155588,"model"
27,0,-0.633779968859605,"data"
27,0,-0.312301680409247,"model"
28,0,-0.681168023643877,"data"
28,0,-0.937892714395455,"model"
29,0,-0.805516814603073,"data"
29,0,-0.443729818818254,"model"
3,0,-0.418972106922781,"data"
3,0,-0.154162693219904,"model"
30,0,-2.61688728136829,"data"
30,0,-0.679955729229769,"model"
4,0,0.17522902793886,"data"
4,0,-0.0566429181191198,"model"
5,0,-1.5816609348837,"data"
5,0,-0.566597081962073,"model"
7,0,-1.00413991467836,"data"
7,0,-0.473466350311755,"model"
8,0,-0.0709476576499521,"data"
8,0,-0.0381434640309204,"model"
9,0,-0.86289212812999,"data"
9,0,-0.372972319464171,"model"
1,25,-0.80640787724076,"data"
1,25,-0.861128626968793,"model"
10,25,-1.06901862638913,"data"
10,25,-0.928365991584776,"model"
11,25,-0.00777024854147627,"data"
11,25,-0.227128015922652,"model"
12,25,-0.863013041069584,"data"
12,25,-0.954536622590402,"model"
13,25,-0.0374871050096105,"data"
13,25,-0.0655757194929193,"model"
14,25,-0.606285423535244,"data"
14,25,-0.359394765035176,"model"
15,25,0.371259452272376,"data"
15,25,-0.138417995486048,"model"
16,25,-1.56272128123735,"data"
16,25,-0.983523280957632,"model"
17,25,-1.034314053587,"data"
17,25,-1.36256895571131,"model"
18,25,-0.210886154310578,"data"
18,25,-0.126330942364526,"model"
19,25,0.092155941642631,"data"
19,25,-0.108638934856257,"model"
2,25,-0.290716969006262,"data"
2,25,-0.145708233257755,"model"
20,25,-0.376562288542011,"data"
20,25,-0.425915681914278,"model"
21,25,-0.0960680308667789,"data"
21,25,-0.150271642619528,"model"
22,25,-0.781263165305456,"data"
22,25,-0.157234455923593,"model"
23,25,-0.479320776121291,"data"
23,25,-0.71820574473573,"model"
24,25,-0.687196790458534,"data"
24,25,-0.16767943643454,"model"
25,25,-0.898821540858933,"data"
25,25,-0.963062056650985,"model"
26,25,0.34329665625846,"data"
26,25,-0.110145132033066,"model"
27,25,-0.386150409347396,"data"
27,25,-0.5726313350872,"model"
28,25,-1.44902890200883,"data"
28,25,-1.10045545617977,"model"
29,25,-0.998557499241636,"data"
29,25,-0.814864365368689,"model"
3,25,-0.165153036535165,"data"
3,25,-0.312019536259881,"model"
30,25,-1.39536528883035,"data"
30,25,-1.23240978414595,"model"
4,25,-0.432065176468531,"data"
4,25,-0.15337555990896,"model"
5,25,-0.737839218856108,"data"
5,25,-1.08316037488498,"model"
7,25,-1.69902914633027,"data"
7,25,-0.856256084683549,"model"
8,25,-0.155697996155367,"data"
8,25,-0.093118235491868,"model"
9,25,-0.341895947862132,"data"
9,25,-0.692481463618191,"model"
1,50,-1.809378875178,"data"
1,50,-0.92674710010675,"model"
10,50,-1.34214226880648,"data"
10,50,-1.04094247403059,"model"
11,50,-0.221621220091754,"data"
11,50,-0.324853236093556,"model"
12,50,-2.2497036238017,"data"
12,50,-1.19109355165154,"model"
13,50,0.322100262187259,"data"
13,50,-0.102240567759429,"model"
14,50,-0.739109358859603,"data"
14,50,-0.526683202124935,"model"
15,50,-0.162486762718993,"data"
15,50,-0.213591524335819,"model"
16,50,-1.2110578607552,"data"
16,50,-1.03873399586462,"model"
17,50,-1.3627352288471,"data"
17,50,-1.47200546547589,"model"
18,50,0.99416469538869,"data"
18,50,-0.186738716061616,"model"
19,50,0.349884840777256,"data"
19,50,-0.167121963022134,"model"
2,50,-0.405151407514332,"data"
2,50,-0.250543745579846,"model"
20,50,-0.626090677689761,"data"
20,50,-0.536297163268739,"model"
21,50,-0.439498105023195,"data"
21,50,-0.235958139276402,"model"
22,50,0.34931033147775,"data"
22,50,-0.236705861719446,"model"
23,50,-1.57849627677634,"data"
23,50,-0.81231097739426,"model"
24,50,-0.405056218618641,"data"
24,50,-0.27217617052428,"model"
25,50,-0.771485325626719,"data"
25,50,-1.22629069967437,"model"
26,50,-0.29212009140651,"data"
26,50,-0.173185589790191,"model"
27,50,-0.641754782654915,"data"
27,50,-0.69137018650126,"model"
28,50,-1.29028047898579,"data"
28,50,-1.09604266870807,"model"
29,50,-1.02105578202392,"data"
29,50,-0.909130099454381,"model"
3,50,-0.735424245786129,"data"
3,50,-0.406136392039573,"model"
30,50,-2.12888150781047,"data"
30,50,-1.22727049476816,"model"
4,50,0.721593149108926,"data"
4,50,-0.256725107985333,"model"
5,50,-2.1302727566014,"data"
5,50,-1.08178647946318,"model"
7,50,-20.8100862331445,"data"
7,50,-0.951224424622146,"model"
8,50,0.338367385739011,"data"
8,50,-0.135959165195144,"model"
9,50,-0.364996249373311,"data"
9,50,-0.772220819774928,"model"
1,75,-20.5571180001267,"data"
1,75,-1.03671710782649,"model"
10,75,-0.348475658137702,"data"
10,75,-1.08211111267196,"model"
11,75,-0.727488773025545,"data"
11,75,-0.393840990892291,"model"
12,75,-1.05550307881353,"data"
12,75,-1.18559052896173,"model"
13,75,0.360390923501697,"data"
13,75,-0.134409900573944,"model"
14,75,-0.596083869521107,"data"
14,75,-0.585287300205147,"model"
15,75,-0.241454642231909,"data"
15,75,-0.279769518831211,"model"
16,75,-2.71628120076857,"data"
16,75,-1.0563559732009,"model"
17,75,-1.74692766534097,"data"
17,75,-1.40741776575268,"model"
18,75,-0.305886561376838,"data"
18,75,-0.239091721238842,"model"
19,75,-0.249940837270492,"data"
19,75,-0.219951208317921,"model"
2,75,0.0477973742704385,"data"
2,75,-0.289000152140236,"model"
20,75,-1.43222716475402,"data"
20,75,-0.571008861112266,"model"
21,75,7.75791868816831e-17,"data"
21,75,-0.286805610285904,"model"
22,75,1.54156140855388,"data"
22,75,-0.28368573303023,"model"
23,75,-0.747367539608606,"data"
23,75,-0.907515990389631,"model"
24,75,0.400888803053258,"data"
24,75,-0.324443846265365,"model"
25,75,-0.792513813111903,"data"
25,75,-1.18619659802939,"model"
26,75,-0.955201784871392,"data"
26,75,-0.207551176693818,"model"
27,75,-0.678149734724741,"data"
27,75,-0.797183939636359,"model"
28,75,-0.614318224003196,"data"
28,75,-1.0654722987209,"model"
29,75,-0.717526712935704,"data"
29,75,-1.02426641107649,"model"
3,75,-0.42208997450154,"data"
3,75,-0.501192342523223,"model"
30,75,-1.95334236298691,"data"
30,75,-1.71317288216666,"model"
4,75,-0.253467945062449,"data"
4,75,-0.31860959136901,"model"
5,75,-3.15030580844049,"data"
5,75,-1.17229849071232,"model"
7,75,-1.8384832866442e-30,"data"
7,75,-0.987099569829083,"model"
8,75,0.291982172457433,"data"
8,75,-0.189390983800261,"model"
9,75,-0.828105974202639,"data"
9,75,-0.894655763720902,"model"
